age,residence_type,address,education_level,job_type,number_years_at_job,marital_status,num_tickets_purchased,last_ticket_purchase_year,other_tickets_purchased,gym_membership_ind,prior_year_spend,prior_year_spend_external,primary_credit_card,last_activity_social,other_streaming_services,cable_provider,search_history_summary,rating_history,promotion_type,conversion_ind,ltv
49,U,"36496 Green Canyon Apt. 902, Katrinamouth, CA 91690",grad_college,business,14,1,0.0,,"['fb', 'c', 'c', 'fb', 'fb', 'fb', 'c', 'bsb', 'c', 'c']",0,6.26,,,2019-01-04,1,nan,"['firstwrestlerreport.com', 'globalbooksmagazine.com', 'nationalmarket.com', 'majorpoliticsnews.com']",,bronze,0.0,0.0
26,S,"09266 Pollard Points Unit 862, Port Emily, CA 90095",grad_college,education,6,0,0.0,,"['fb', 'fb', 's', 'fb', 'fb']",0,8.38,213.54,pursuit,,2,nan,"['majormarketreport.com', 'nationaltechnews.com', 'totalbooksmagazine.com', 'majorrecipesinfo.com']",,silver,1.0,1120.5377026624367
58,S,"5124 David Plain Unit 749, New Nathan, CA 92749",grad_college,,12,1,0.0,,"['c', 's', 'bxb', 'bsb', 'bsb', 'fb', 'fb', 'bsb', 'bxb', 'fb']",0,2.7,73.4,maincard,2016-06-18,2,Infinity,"['wrestlerclips.com', 'firsttech.com', 'firsttechinfo.com', 'wildlifenews.com', 'majormarketclips.com']",,gold,0.0,0.0
46,U,"63056 Williams Fields Unit 267, North Stephenfort, TX 78379",masters_professional,tech,7,1,1.0,2021.0,"['c', 'p', 'bsb', 'fb', 'c', 'c', 'fb', 'fb', 'bsb', 'fb']",0,,58.58,maincard,2019-12-06,2,nan,"['premierpoliticsmagazine.com', 'totalrecipesreport.com', 'QSRbooksnews.com', 'nationalfighting.com', 'UBCbooks.com']",,gold,1.0,2353.7986267180127
30,U,"174 Campbell Unions Unit 599, New Elizabethshire, IL 61275",grad_high_school,,9,0,0.0,,"['bxb', 'c', 'bsb', 'c', 'c', 'fb', 'c', 'fb', 'c', 's']",0,10.04,32.53,passport,,4,Spectral,"['majortechmagazine.com', 'outdoornews.com', 'booksmagazine.com']",,gold,0.0,0.0
46,U,"119 Zachary Port Apt. 908, Munozview, CA 91621",some_college,business,6,0,0.0,,['bxb'],0,,68.37,maincard,2018-10-30,5,Infinity,"['premierfurniture.com', 'firstbooksclips.com', 'totalbooksinfo.com', 'dailycampingmagazine.com']",,gold,1.0,287.5496519463169
59,U,"6312 Griffin Route, Holmesland, AL 36184",grad_high_school,none,11,0,1.0,2012.0,"['s', 'fb', 'fb', 'bsb', 'c', 'c', 'fb', 'c']",1,,238.52,pursuit,2022-04-24,3,Infinity,"['globalfinancereport.com', 'premiermarketreport.com', 'actionoutdoorreport.com', 'QSRwrestlerclips.com', 'dailyrecipesclips.com']",,silver,0.0,0.0
79,S,"48934 Wong Trail, Moodyburgh, TX 77515",no_hs_diploma,childcare,10,0,10.0,2018.0,"['p', 'c', 'bsb', 'fb', 'fb', 'bsb', 'fb', 'c', 'c', 'bxb']",0,2.47,10.58,pursuit,2017-11-25,2,Spectral,"['totalwrestlingnews.com', 'premierwrestler.com', 'totalfurnituremagazine.com', 'globaltechmagazine.com', 'premierfurnituremagazine.com']",,bronze,0.0,0.0
51,S,"2305 Burch Wells Unit 310, Lake Ericshire, CA 91605",grad_high_school,childcare,9,0,0.0,,"['fb', 'bxb', 'bxb', 'fb', 'fb', 'bxb', 'fb', 'bsb', 'fb', 'fb']",0,1.0,275.89,locate,,3,Infinity,"['wildlifenews.com', 'premierwrestler.com', 'nationaloutdoormagazine.com', 'actiontechmagazine.com']",,bronze,0.0,0.0
60,S,"1034 Morrison Track Apt. 273, North Jenniferhaven, CA 93019",some_college,service,13,0,0.0,,"['s', 'fb', 's', 'fb', 'fb', 'bxb', 'fb', 'bsb', 'bsb', 'fb']",0,4.85,54.64,maincard,2017-07-25,1,Spectral,"['QSRoutdoorreport.com', 'firstrecipesclips.com', 'nationalfurnitureclips.com', 'nationalwrestlingclips.com', 'nationaloutdoormagazine.com']",,bronze,0.0,0.0
70,S,"966 Hall Villages, Schneiderburgh, CA 94957",some_college,tech,16,1,1.0,2019.0,"['c', 'fb', 'fb', 'fb', 'fb', 'bsb', 'c', 'bxb', 'fb', 'fb']",1,19.58,61.68,locate,2022-02-18,5,Spectral,"['QSRmarketnews.com', 'globalwrestlinginfo.com']",,silver,0.0,0.0
35,S,"7915 Ryan Drive, Lake Anthony, TX 77639",grad_college,business,13,1,0.0,,"['fb', 'bsb', 'bsb', 'c', 'fb', 'fb', 's', 'c', 'bsb', 'fb']",0,,140.74,pursuit,2019-08-30,5,nan,"['premierfightingmagazine.com', 'nationaltechreport.com', 'globalmarketmagazine.com', 'QSRfinanceinfo.com']",,gold,1.0,1417.7745984760254
42,U,"0587 Tina Mountain, Brownborough, CA 90583",some_college,,18,1,1.0,2022.0,,0,69.16,4.97,maincard,,4,Infinity,"['QSRwildlifereport.com', 'QSRfinancenews.com', 'totalfurniturereport.com']",,bronze,0.0,0.0
50,R,"719 Patrick Well Unit 322, West Stefanieton, TX 79578",grad_college,finance,7,0,0.0,,"['fb', 'fb', 'fb', 'fb', 'bxb', 'c', 'bsb', 'fb', 'bsb', 'bsb']",0,82.21,153.96,passport,2018-04-29,1,ShrewTube,"['actionmarketreport.com', 'premierfinanceinfo.com', 'firstwrestlermagazine.com', 'actionrecipesmagazine.com', 'nationalbooks.com']",,gold,1.0,2300.6737946083094
27,R,"64562 Lopez Views Apt. 928, Smithchester, NJ 8483",grad_high_school,government,7,1,1.0,2017.0,"['fb', 'bxb', 'bsb', 'fb', 'bsb', 'bsb', 'fb', 'fb', 'fb', 'bsb']",0,21.95,692.58,maincard,2019-12-12,4,Infinity,"['majorpoliticsmagazine.com', 'premierfinanceclips.com', 'dailypoliticsmagazine.com', 'firstwrestler.com']",,gold,1.0,2789.595030778883
58,S,"713 Mathis Flats, Port Rebecca, CA 94651",grad_high_school,retail,16,1,12.0,2022.0,,1,63.73,234.86,maincard,2019-01-17,6,Spectral,['premierwrestlerreport.com'],,silver,1.0,2726.4778420805483
52,U,"4005 Castillo Center, New Justin, GA 31580",grad_high_school,service,9,0,2.0,2017.0,"['fb', 'bxb', 'fb', 'c', 'fb', 'fb', 'c', 'fb', 'c', 'fb']",0,,119.76,locate,2018-09-05,2,nan,"['UBCpoliticsreport.com', 'nationalfurniturenews.com', 'majormarketinfo.com']",,bronze,0.0,0.0
24,R,"989 Frederick Lakes Unit 371, Rodriguezberg, CA 93628",grad_high_school,service,3,0,1.0,2017.0,,0,17.56,58.11,passport,2017-12-10,1,nan,['dailybooks.com'],,gold,1.0,2361.564904777658
21,S,"412 Heather Park, Annfort, CA 95440",grad_high_school,retail,1,0,0.0,,"['bsb', 'fb', 'c', 'fb']",0,24.05,24.01,locate,,3,Fish Network,"['UBCfinancereport.com', 'dailysportsnews.com', 'firstbooksmagazine.com', 'financenews.com', 'firstmarketinfo.com']",,bronze,0.0,0.0
61,U,"35432 Taylor Wells Unit 534, Sandershaven, TX 79561",some_college,service,11,1,3.0,2021.0,"['c', 'fb']",1,,85.61,maincard,2016-09-20,3,Spectral,"['firstoutdoorclips.com', 'furniturereport.com', 'campingclips.com', 'actiontechclips.com', 'totalwildlifeclips.com']",1,bronze,0.0,0.0
26,U,"158 George Views, West Sandramouth, CA 94448",grad_college,business,5,1,0.0,,,0,0.69,109.98,passport,,1,Infinity,"['majorwrestlingmagazine.com', 'QSRwrestlinginfo.com', 'QSRrecipes.com']",,bronze,0.0,0.0
78,S,"156 Crystal Street Unit 342, East Toddport, CA 90215",masters_professional,business,11,0,9.0,2016.0,"['bsb', 'fb', 'fb', 'p', 'bxb', 'c', 'bsb', 's', 'bsb', 'c']",0,5.26,157.04,locate,,5,Fish network,"['camping.com', 'UBCsportsmagazine.com', 'dailywrestling.com', 'UBCfinanceclips.com', 'actioncampingnews.com']","3, 3, 5",bronze,0.0,0.0
63,S,"6703 Gutierrez Streets, Ernestburgh, FL 33010",no_hs_diploma,service,6,0,0.0,,,1,9.33,,,2019-08-30,3,Infinity,"['furnitureclips.com', 'premiermarket.com', 'dailytechnews.com']",,bronze,0.0,0.0
69,S,"19832 Keith Mall, Carlberg, FL 32033",masters_professional,tech,14,0,0.0,,"['bsb', 's', 's', 'fb']",0,24.18,221.95,SLAMEX,2021-02-08,2,Infinity,"['UBCmarketnews.com', 'fightingreport.com', 'QSRrecipes.com']",,gold,1.0,1973.7344610191392
59,S,"6180 Tina Way Apt. 794, East Tiffanychester, TN 37586",grad_college,tech,15,0,0.0,,"['s', 'c', 'fb', 'fb', 's', 'bxb', 'c', 'fb', 'fb', 'fb']",0,23.87,,,,1,Spectral,"['majorwrestlingclips.com', 'wrestling.com', 'nationalcampingreport.com', 'globaltechmagazine.com']",,bronze,0.0,0.0
47,S,"425 Larry Square, Port Dawnport, MA 2665",phd,healthcare,17,1,3.0,2019.0,"['fb', 'bsb', 'fb', 'c', 'fb', 'fb', 'fb', 'bsb', 'bxb', 'c']",0,2.41,463.25,maincard,,3,DefecTV,"['globalwrestlingnews.com', 'dailywrestlerclips.com', 'totalrecipesmagazine.com', 'dailywildlifemagazine.com']",,silver,1.0,2770.9414252328725
59,S,"16256 Jonathan Village, New Alexandria, FL 32110",grad_high_school,retail,10,1,0.0,,"['fb', 'fb', 'p', 'bxb', 'fb', 'fb', 'c', 'bxb', 's', 'c']",1,16.95,22.23,SLAMEX,2019-09-10,0,ShrewTube,"['recipesnews.com', 'actionbooksnews.com', 'nationalbooksclips.com']",,silver,1.0,1170.2083783076732
55,S,"07225 Lisa Club Unit 877, East Rebecca, CA 93529",some_college,government,10,1,4.0,2017.0,"['fb', 'fb', 'bxb', 'c']",0,1.02,65.14,passport,,3,Fish Network,"['majorbooksclips.com', 'premierfurniturereport.com', 'totalwrestlermagazine.com', 'actionmarketclips.com', 'premierpolitics.com']",,bronze,1.0,2099.0604549296977
73,S,"2077 Jordan Summit Unit 954, Port Kimtown, CA 95467",some_college,service,2,1,31.0,2012.0,,0,41.26,282.66,passport,,1,Spectral,"['globaltechreport.com', 'dailytech.com', 'nationalwrestlingmagazine.com', 'QSRrecipesinfo.com', 'UBCcampingmagazine.com']","5, 4, 5, 5, 5, 5, 4, 5, 5, 3, 4, 4, 5, 4, 3, 5, 4, 3, 3, 5",silver,1.0,2638.0472789291493
22,U,"5678 Christina Trail, Calhounmouth, FL 33758",grad_college,retail,2,0,0.0,,"['fb', 'c', 'bxb', 's', 'c']",0,12.5,52.57,passport,,3,nan,"['financenews.com', 'globalmarketnews.com', 'totalsportsinfo.com']",,bronze,0.0,0.0
56,S,"152 Tyler Forks Unit 826, Lovebury, CA 93874",grad_high_school,childcare,12,1,0.0,,"['c', 's', 'c', 'bxb', 'bsb', 'bxb', 'bxb', 's', 'bsb', 'fb']",0,6.39,95.51,maincard,,1,Cheezeline,"['market.com', 'firstmarketinfo.com', 'campingnews.com']",,bronze,0.0,0.0
21,S,"922 Dylan Light, Edwinhaven, CO 80657",grad_high_school,service,1,0,0.0,,"['bxb', 'bsb', 's', 'fb']",1,0.69,121.41,SLAMEX,2021-08-04,1,nan,"['dailycampingnews.com', 'nationalfinancemagazine.com', 'nationalcampingnews.com']",,gold,1.0,1133.822226988314
68,U,"712 Fox Views Apt. 185, South Jacqueline, TX 78034",grad_high_school,none,15,0,24.0,2018.0,"['fb', 'p', 's', 'c', 'c', 'fb', 'bsb', 'fb']",1,36.91,,,2020-11-27,3,Spectral,"['globalmarketinfo.com', 'firstfightingclips.com', 'dailywrestling.com', 'majorfighting.com', 'QSRcampinginfo.com', 'majorfurnituremagazine.com']",5,gold,0.0,0.0
37,U,"8083 Veronica Alley Unit 012, Kimmouth, TX 79456",some_college,childcare,7,1,22.0,2020.0,"['c', 'bxb', 'bsb', 'fb', 'bsb', 'fb']",0,4.52,171.87,passport,2020-06-29,3,Fish Network,"['dailytechnews.com', 'camping.com', 'firstrecipesnews.com', 'politicsnews.com', 'actioncampinginfo.com']",,bronze,0.0,0.0
28,U,"189 Johnson Expressway, New Glenn, FL 33976",some_college,,7,0,1.0,2018.0,,0,,97.82,maincard,2017-12-22,4,Infinity,"['dailytechnews.com', 'QSRoutdoor.com', 'dailybooksinfo.com', 'QSRoutdoorclips.com']",,gold,1.0,1601.4072445283707
33,U,"4038 Holly Curve Unit 014, Eugenefurt, TX 76210",grad_college,education,9,1,36.0,2017.0,"['fb', 'bxb', 'bxb', 'fb', 'c', 'p', 's', 'p', 'fb']",1,,,,2019-09-24,3,Spectral,"['totalwrestlingclips.com', 'politicsmagazine.com', 'firsttechinfo.com']",,bronze,0.0,0.0
47,U,"572 White Hollow Apt. 709, Vanessastad, TX 76219",grad_college,tech,9,1,4.0,2015.0,"['bsb', 'bxb', 'fb']",1,7.82,39.79,SLAMEX,2016-10-09,1,Infinity,"['majorwrestlingclips.com', 'totalfinancenews.com', 'totaltechreport.com', 'totalpoliticsinfo.com', 'QSRbooksmagazine.com', 'QSRsportsinfo.com']",,gold,1.0,2670.217488161703
56,S,"409 Martin Dale Apt. 690, Riverabury, CA 96039",grad_high_school,,5,1,10.0,2022.0,,1,74.89,100.06,pursuit,,5,Spectral,"['actiontech.com', 'globalwrestlernews.com', 'globalbooks.com', 'booksreport.com', 'nationalfighting.com', 'QSRtechclips.com', 'actionoutdoormagazine.com']",,silver,1.0,2147.3465154591704
60,U,"343 Matthew Plains Apt. 484, Jeffreyland, CA 95826",grad_college,tech,10,1,10.0,2015.0,"['s', 'bxb', 'c', 'c', 'fb', 'bsb', 'bxb', 'bsb', 'bxb', 'c']",0,12.05,53.19,maincard,,1,Spectral,"['actioncamping.com', 'premiertechinfo.com', 'firstbooks.com']",,silver,1.0,2125.49842856077
69,U,"7313 Anthony Streets, Port Russellberg, CA 91033",grad_high_school,,7,1,18.0,2017.0,"['c', 'c', 'fb', 'fb', 's', 's', 'c', 'fb', 'fb', 'bsb']",0,40.6,225.94,SLAMEX,,3,nan,"['firstbooksclips.com', 'majorwrestlingmagazine.com', 'actionrecipesmagazine.com']",,bronze,0.0,0.0
36,U,"720 Brooks Corner Apt. 544, New William, TX 76909",grad_college,,14,0,2.0,2022.0,"['bsb', 'fb', 'bxb', 'c', 'c', 'p', 'bsb', 'fb', 'fb', 's']",1,53.02,18.1,maincard,2022-10-18,1,Suboptimal,"['majorsportreport.com', 'UBCwildlifeinfo.com', 'dailyoutdoornews.com', 'campingclips.com']",,silver,1.0,3701.706195934569
49,U,"6299 Calderon Summit Unit 660, East Kathytown, CA 94422",some_college,service,8,1,1.0,2010.0,"['bsb', 'fb']",1,,374.73,passport,,1,DefecTV,"['recipesinfo.com', 'firstwildlife.com', 'actionfurniture.com']",,bronze,0.0,0.0
57,U,"9937 Shaffer Fort, Dillonville, CA 94812",grad_high_school,marketing,18,1,0.0,,"['c', 'fb', 'bxb', 'fb']",1,20.42,68.13,maincard,2022-02-07,3,Fish Network,"['nationaloutdoorreport.com', 'firstfinancenews.com', 'nationalrecipesmagazine.com']",,bronze,0.0,0.0
59,S,"6547 Bowman Branch, Lake Alyssafort, TX 76139",grad_high_school,childcare,13,0,1.0,2017.0,"['fb', 'c', 'bxb', 'fb', 'bxb']",1,,67.09,passport,2021-01-08,2,ShrewTube,"['dailytechinfo.com', 'nationalmarketreport.com', 'totalwrestler.com', 'majorpoliticsnews.com']",,silver,0.0,0.0
40,U,"059 David Prairie Apt. 838, Churchbury, CA 96005",no_hs_diploma,none,9,1,0.0,,"['s', 'fb', 'bsb']",0,,,,2017-12-28,1,Infinity,"['firstbooksinfo.com', 'globaltechnews.com', 'majorfinanceclips.com', 'dailyfinancereport.com', 'dailywrestlingclips.com', 'UBCfurnitureclips.com']",,gold,0.0,0.0
30,U,"111 Lewis Walk, North Thomas, TX 79693",some_college,service,4,0,2.0,2018.0,"['bxb', 'c', 'c', 'bxb', 'c', 'c']",1,16.25,175.97,maincard,2018-04-10,2,DefecTV,"['QSRoutdoornews.com', 'totalfurnituremagazine.com', 'dailypoliticsclips.com', 'dailytechmagazine.com']",,silver,0.0,0.0
74,U,"49817 Smith Manors Apt. 882, Port Jessica, CA 92359",some_college,service,5,1,1.0,2022.0,"['s', 'c', 'fb', 'fb', 'bxb', 'fb', 'fb', 'fb', 'bxb', 'c']",0,63.82,241.7,pursuit,,4,nan,"['QSRrecipesinfo.com', 'premiercampinginfo.com', 'dailywildlifeclips.com', 'QSRbooksnews.com', 'majoroutdoorclips.com']",,silver,1.0,1962.1950896167582
33,U,"966 Thompson Mission Unit 507, Port Jason, IL 62040",some_college,service,12,1,0.0,,,0,,17.78,pursuit,2018-04-02,1,DefecTV,"['dailycamping.com', 'UBCbooksclips.com', 'firstpoliticsinfo.com', 'QSRbooksmagazine.com', 'wrestling.com']",,bronze,1.0,1233.5230391724829
19,U,"24261 Williams Via Apt. 074, Cristianland, TX 78913",no_hs_diploma,service,1,0,1.0,2022.0,,1,6816.95,84.39,passport,,5,ShrewTube,"['nationalpoliticsinfo.com', 'UBCtechreport.com', 'totalfighting.com', 'premierwrestlingnews.com']",,bronze,1.0,3753.7956517887396
51,U,"68207 Theresa Road, Donaldton, CA 91701",grad_college,service,8,1,0.0,,"['bsb', 'c', 'fb', 'bxb']",0,20.81,149.69,pursuit,,4,Spectral,"['dailyfinance.com', 'totaloutdoornews.com']",,silver,0.0,0.0
65,S,"3719 Betty Burgs, South Jacobshire, CA 93563",grad_high_school,government,16,1,3.0,2019.0,"['bsb', 'fb', 'c']",0,,22.54,SLAMEX,2022-06-04,1,nan,"['nationaltechclips.com', 'majortechreport.com', 'totalmarketinfo.com', 'dailywrestlingnews.com']",,silver,1.0,1998.5440334635186
40,S,"802 Jason Wells, New Tamaraburgh, TX 77331",grad_high_school,retail,12,1,2.0,2012.0,"['bxb', 'fb', 'fb', 'bxb']",0,23.19,127.11,maincard,2019-04-08,4,ShrewTube,"['UBCwrestlerclips.com', 'dailycampingmagazine.com', 'totalwildlifemagazine.com', 'actionbooksnews.com', 'dailyfurnitureinfo.com', 'financeclips.com']",,silver,1.0,2201.050022904881
55,U,"5522 Leslie Stream, Terrenceview, CA 91272",masters_professional,tech,10,1,3.0,2019.0,,0,,36.71,maincard,,4,Infinity,"['QSRrecipesinfo.com', 'dailywildlifenews.com', 'financereport.com', 'actionbooksclips.com']",4,gold,1.0,1961.0612831541102
22,U,"86067 Fernandez Shore, Christopherfurt, CA 94941",grad_college,none,1,1,0.0,,"['c', 'fb', 'c', 'bxb', 'fb', 'fb', 'bsb', 'c', 'fb', 'fb']",0,27.22,61.12,passport,2017-02-09,5,ShrewTube,['actionwrestling.com'],,bronze,1.0,1984.5947569509829
46,U,"07200 Byrd Center Unit 598, New Sheilaview, MO 65268",grad_college,tech,10,1,9.0,2015.0,"['bxb', 's', 'bxb', 'fb', 'bxb', 'fb', 'fb', 'bxb', 'fb', 'c']",0,9.67,284.73,locate,2019-03-12,5,DefecTV,"['QSRcampingclips.com', 'actionsportsinfo.com', 'marketnews.com']",,bronze,0.0,0.0
52,U,"66675 Swanson Highway Unit 749, Joanville, TX 76949",grad_college,business,12,1,0.0,,"['fb', 'fb']",0,25.07,77.1,passport,,1,Infinity,"['dailywildlife.com', 'globalcampinginfo.com', 'dailypoliticsreport.com', 'UBCtechmagazine.com', 'globaloutdoorclips.com']",,silver,0.0,0.0
38,U,"19577 Connie Circles, South Charlesfort, CA 93635",grad_high_school,service,10,1,0.0,,"['bsb', 'c', 'fb']",1,9.32,111.6,maincard,2019-03-04,4,DefecTV,"['dailycampingnews.com', 'globalrecipesinfo.com', 'recipesmagazine.com', 'firstcampingnews.com', 'premierbooksmagazine.com']",,silver,0.0,0.0
26,U,"6816 Holmes Overpass, South Lindafort, CA 96024",grad_high_school,service,5,1,5.0,2018.0,['fb'],0,3.33,16.18,maincard,2020-06-20,3,Spectral,"['UBCwrestlerclips.com', 'premierwrestlerinfo.com', 'totalrecipesclips.com']",,silver,1.0,2217.808675300807
56,U,"65711 Michael Mountains Apt. 196, Johnhaven, IL 62162",grad_high_school,retail,4,1,0.0,,"['p', 'fb', 'bsb', 'fb', 'fb', 'fb', 'c', 'c', 'c', 'bsb']",0,12.26,280.69,maincard,2020-03-30,3,Infinity,"['actionoutdoornews.com', 'premierwrestlermagazine.com', 'QSRoutdoorreport.com', 'QSRwildlife.com']",,gold,1.0,1571.443757331094
48,U,"22414 Jackson Passage Unit 191, Lake Jasmineview, CA 91580",grad_high_school,service,8,0,0.0,,"['fb', 'fb', 'bxb', 'c', 'bsb', 'fb', 'fb']",0,25.61,281.12,passport,2020-12-06,1,Infinity,"['nationaltechinfo.com', 'totaltechinfo.com', 'nationaltechclips.com']",,silver,0.0,0.0
51,U,"745 Jeremy Freeway, Summermouth, CA 93308",grad_high_school,service,9,1,1.0,2019.0,,1,22.89,133.36,maincard,,1,Spectral,"['dailywrestlinginfo.com', 'actionmarket.com', 'globalfurniturenews.com']",,gold,1.0,2523.8322419470733
50,U,"562 Jenkins Park, Lisaland, CA 93205",some_college,service,11,0,0.0,,"['fb', 'fb', 'fb', 'c', 'bxb', 'c', 'fb', 'fb', 'fb', 'c']",1,14.94,390.87,SLAMEX,2019-08-02,0,nan,"['dailyfinancemagazine.com', 'globalwildlifemagazine.com', 'majorbooksnews.com', 'globaltechinfo.com', 'QSRcamping.com', 'UBCwrestlerinfo.com', 'nationalmarket.com']",,gold,1.0,2404.545690332837
